QGC WPL 110
0	1	0	16	0.000000	5.000000	0.000000	0.000000	37.423710	-122.177635	0.000000	1
1	0	3	22	0.000000	5.000000	0.000000	0.000000	37.423310	-122.177131	25.000000	1
1	0	3	16	0.000000	5.000000	0.000000	0.000000	37.438473	-122.129497	52.000000	1
2	0	3	16	0.000000	5.000000	0.000000	0.000000	37.417665	-122.099189	52.000000	1
3	0	3	16	0.000000	5.000000	0.000000	0.000000	37.407866	-122.135237	52.000000	1
4	0	3	16	0.000000	5.000000	0.000000	0.000000	37.415017	-122.152638	52.000000	1
1	0	3	16	0.000000	5.000000	0.000000	0.000000	37.422594	-122.176348	50.000000	1
2	0	3	16	0.000000	5.000000	0.000000	0.000000	37.422867	-122.174792	30.000000	1
3	0	3	16	0.000000	5.000000	0.000000	0.000000	37.421452	-122.175297	40.000000	1
4	0	3	16	0.000000	5.000000	0.000000	0.000000	37.421938	-122.177260	10.000000	1
5	0	3	16	0.000000	5.000000	0.000000	0.000000	37.422347	-122.177249	5.000000	1
6	0	3	21	0.000000	5.000000	0.000000	0.000000	37.422671	-122.177228	0.000000	1
